K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=w*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^5, t^3 + w^7>; f=x^9 + 6*a*x^6 + 6*a*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^5, t^3 + w^7>; f=x^9 + 6*a*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + w^6, t^3 + 1>; f=x^9 + 3*x^6 + (6*a + 6)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + w^6, t^3 + 1>; f=x^9 + 6*x^6 + (6*a + 6)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + w^6, t^3 + 1>; f=x^9 + (6*a + 6)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w*t^2 + w^6, t^3 + w>; f=x^9 + (6*a + 6)*x^5 + 6*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^2*t^2 + w^6, t^3 + w^2>; f=x^9 + 3*a*x^6 + (6*a + 6)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^2*t^2 + w^6, t^3 + w^2>; f=x^9 + 6*a*x^6 + (6*a + 6)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^2*t^2 + w^6, t^3 + w^2>; f=x^9 + (6*a + 6)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^3*t^2 + w^6, t^3 + w^3>; f=x^9 + (6*a + 6)*x^5 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + w^6, t^3 + 2>; f=x^9 + 3*x^6 + (6*a + 6)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + w^6, t^3 + 2>; f=x^9 + 6*x^6 + (6*a + 6)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + w^6, t^3 + 2>; f=x^9 + (6*a + 6)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^5*t^2 + w^6, t^3 + w^5>; f=x^9 + (6*a + 6)*x^5 + 3*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^6*t^2 + w^6, t^3 + w^6>; f=x^9 + 3*x^6 + (6*a + 6)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^6*t^2 + w^6, t^3 + w^6>; f=x^9 + 6*x^6 + (6*a + 6)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^6*t^2 + w^6, t^3 + w^6>; f=x^9 + (6*a + 6)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^6, t^3 + w^7>; f=x^9 + (6*a + 6)*x^5 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + w^7, t^3 + 1>; f=x^9 + (3*a + 6)*x^5 + 6*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w*t^2 + w^7, t^3 + w>; f=x^9 + 3*x^6 + (3*a + 6)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w*t^2 + w^7, t^3 + w>; f=x^9 + 6*x^6 + (3*a + 6)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w*t^2 + w^7, t^3 + w>; f=x^9 + (3*a + 6)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^2*t^2 + w^7, t^3 + w^2>; f=x^9 + (3*a + 6)*x^5 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^3*t^2 + w^7, t^3 + w^3>; f=x^9 + 3*x^6 + (3*a + 6)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^3*t^2 + w^7, t^3 + w^3>; f=x^9 + 6*x^6 + (3*a + 6)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^3*t^2 + w^7, t^3 + w^3>; f=x^9 + (3*a + 6)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + w^7, t^3 + 2>; f=x^9 + (3*a + 6)*x^5 + 3*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^5*t^2 + w^7, t^3 + w^5>; f=x^9 + 3*a*x^6 + (3*a + 6)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^5*t^2 + w^7, t^3 + w^5>; f=x^9 + 6*a*x^6 + (3*a + 6)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^5*t^2 + w^7, t^3 + w^5>; f=x^9 + (3*a + 6)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^6*t^2 + w^7, t^3 + w^6>; f=x^9 + (3*a + 6)*x^5 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^7, t^3 + w^7>; f=x^9 + 3*x^6 + (3*a + 6)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^7, t^3 + w^7>; f=x^9 + 6*x^6 + (3*a + 6)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=w^3*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<w^7*t^2 + w^7, t^3 + w^7>; f=x^9 + (3*a + 6)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=0T0
 
