p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 4*x^7 + 2*x^6 + 4*x^3 + 6; Aut=4T2; Gal=8T9
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^5 + 4*x^3 + 6; Aut=4T1; Gal=8T17
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 4*x^7 + 2*x^6 + 4*x^5 + 4*x^3 + 6; Aut=2T1; Gal=8T8
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^3 + 14; Aut=2T1; Gal=8T19
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 4*x^7 + 2*x^6 + 4*x^3 + 14; Aut=4T2; Gal=8T9
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^5 + 4*x^3 + 14; Aut=4T1; Gal=8T17
p=2; n=8; j=11; I=[ 11, 6, 6, 0 ]; R=[ <1, 11>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 4*x^7 + 2*x^6 + 4*x^5 + 4*x^3 + 14; Aut=2T1; Gal=8T8
p=2; n=8; j=11; I=[ 11, 11, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=8T24
p=2; n=8; j=11; I=[ 11, 11, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^5 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=8T24
p=2; n=8; j=11; I=[ 11, 10, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^3 + 4*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=11; I=[ 11, 10, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^5 + 2*x^4 + 4*x^3 + 4*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=11; I=[ 11, 11, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^3 + 6; Aut=2T1; Gal=8T24
p=2; n=8; j=11; I=[ 11, 11, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^5 + 2*x^4 + 4*x^3 + 6; Aut=2T1; Gal=8T24
p=2; n=8; j=11; I=[ 11, 10, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^3 + 4*x^2 + 6; Aut=1T1; Gal=8T41
p=2; n=8; j=11; I=[ 11, 10, 4, 0 ]; R=[ <1, 11>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^5 + 2*x^4 + 4*x^3 + 4*x^2 + 6; Aut=1T1; Gal=8T41
p=2; n=8; j=13; I=[ 13, 13, 8, 0 ]; R=[ <1, 13>, <8, 0> ]; A=<t + 1>; f=x^8 + 4*x^5 + 2; Aut=1T1; Gal=0T0
p=2; n=8; j=13; I=[ 13, 13, 8, 0 ]; R=[ <1, 13>, <8, 0> ]; A=<t + 1>; f=x^8 + 4*x^6 + 4*x^5 + 2; Aut=1T1; Gal=0T0
